order_id,customer_id,order_date,order_status
OR7389,CU1962,2024-01-03,Pending
OR9106,CU7862,2023-12-22,Pending
OR9860,CU7676,2023-11-08,Cancelled
OR3411,CU4740,2024-02-22,Pending
OR6988,CU4997,2023-09-17,Succeed
OR5052,CU3737,2024-01-06,Pending
OR2046,CU3988,2023-11-01,Succeed
OR0844,CU8356,2024-01-01,Cancelled
OR6138,CU0041,2023-11-06,Processing
OR4292,CU7723,2024-01-12,Cancelled
OR9786,CU6349,2024-02-17,Succeed
OR8216,CU5931,2024-01-30,Pending
OR1179,CU1217,2023-10-23,Cancelled
OR2608,CU1217,2024-02-29,Cancelled
OR8621,CU0214,2023-12-15,Processing
OR8777,CU3705,2023-12-08,Succeed
OR4537,CU8836,2023-10-23,Processing
OR2963,CU1000,2023-09-04,Cancelled
OR8334,CU7728,2023-09-03,Succeed
OR7498,CU0657,2023-12-27,Pending
OR0251,CU5119,2023-10-31,Succeed
OR3849,CU0390,2024-01-28,Pending
OR9656,CU9577,2024-02-01,Processing
OR8981,CU9470,2024-01-02,Succeed
OR1790,CU4061,2023-11-06,Processing
OR3933,CU3424,2023-12-01,Cancelled
OR3290,CU8659,2023-10-17,Pending
OR6310,CU8764,2024-01-13,Pending
OR8266,CU9857,2024-01-02,Pending
OR5494,CU7676,2023-12-23,Succeed
OR4210,CU4035,2023-09-09,Processing
OR0310,CU3424,2024-01-26,Succeed
OR9445,CU0928,2024-01-04,Succeed
OR3091,CU8051,2024-02-08,Succeed
OR0201,CU8836,2023-12-02,Succeed
OR4906,CU3842,2023-11-27,Processing
OR2979,CU7723,2024-02-27,Cancelled
OR2912,CU3912,2024-01-26,Pending
OR4191,CU8152,2023-11-22,Pending
OR3692,CU7967,2023-12-01,Pending
OR7494,CU6553,2024-01-27,Pending
OR3891,CU4715,2023-10-25,Processing
OR0211,CU8743,2023-09-08,Pending
OR7566,CU8735,2024-01-14,Cancelled
OR9581,CU0041,2023-12-03,Succeed
OR9484,CU0657,2023-11-01,Pending
OR0537,CU5931,2023-09-09,Cancelled
OR9147,CU3846,2024-02-28,Processing
OR9797,CU9953,2024-02-19,Pending
OR7293,CU0595,2024-01-11,Processing
OR1310,CU0657,2023-11-25,Pending
OR2801,CU8152,2023-10-07,Processing
OR1454,CU5873,2023-12-12,Processing
OR2936,CU4521,2023-10-16,Succeed
OR9008,CU7862,2023-11-12,Pending
OR7061,CU9986,2023-11-22,Succeed
OR5963,CU8735,2024-01-24,Cancelled
OR2131,CU3989,2023-12-13,Succeed
OR3431,CU3205,2024-02-22,Processing
OR4875,CU4887,2023-10-03,Processing
OR3776,CU0657,2023-11-25,Succeed
OR7513,CU4715,2023-11-06,Succeed
OR0729,CU8659,2023-12-09,Processing
OR0935,CU0657,2023-12-07,Pending
OR5035,CU0390,2023-09-06,Cancelled
OR3851,CU3424,2024-01-07,Processing
OR9797,CU1446,2023-10-04,Pending
OR3539,CU6553,2023-09-19,Pending
OR4666,CU2177,2024-02-16,Cancelled
OR3091,CU9986,2023-11-17,Succeed
OR7955,CU9857,2024-01-26,Cancelled
OR3977,CU8764,2024-02-15,Processing
OR2966,CU4887,2023-12-02,Succeed
OR6956,CU0595,2023-10-10,Processing
OR1133,CU5931,2023-11-03,Succeed
OR6287,CU3842,2023-09-23,Processing
OR6598,CU9470,2023-10-24,Processing
OR5618,CU7197,2023-09-18,Succeed
OR2112,CU1962,2023-12-09,Cancelled
OR2376,CU3360,2023-12-10,Processing
OR0047,CU3989,2024-02-24,Processing
OR0844,CU7723,2024-01-25,Pending
OR9549,CU1936,2023-09-23,Cancelled
OR6146,CU3531,2024-01-13,Pending
OR0843,CU1067,2023-12-17,Succeed
OR3461,CU8735,2024-01-27,Processing
OR0738,CU7339,2023-10-17,Cancelled
OR0431,CU4715,2024-01-27,Cancelled
OR9407,CU6996,2023-10-15,Cancelled
OR3177,CU1924,2024-01-03,Cancelled
OR8092,CU0791,2023-11-09,Succeed
OR5613,CU3737,2023-12-19,Pending
OR0136,CU4533,2023-12-22,Pending
OR4789,CU8247,2023-10-12,Cancelled
OR6462,CU1060,2023-12-11,Processing
OR8989,CU3205,2024-02-19,Processing
OR8160,CU4533,2023-10-16,Succeed
OR9213,CU0149,2024-01-28,Cancelled
OR1662,CU1060,2024-01-24,Succeed
OR5536,CU1000,2024-02-04,Processing
OR7471,CU1067,2023-12-01,Processing
OR8094,CU0791,2023-12-10,Pending
OR9996,CU0149,2023-11-25,Pending
OR0333,CU6553,2024-02-11,Processing
OR8562,CU9326,2023-12-23,Processing
OR6357,CU7676,2024-01-07,Cancelled
OR1504,CU0869,2023-10-06,Processing
OR6008,CU9986,2023-12-04,Pending
OR0736,CU4533,2023-11-02,Processing
OR8047,CU4157,2023-10-01,Processing
OR1314,CU3424,2023-09-10,Pending
OR1405,CU5931,2023-11-25,Cancelled
OR9888,CU3162,2023-11-13,Pending
OR5828,CU0352,2024-01-10,Succeed
OR5532,CU7632,2023-09-13,Pending
