product_id,category_id,product_name,product_price,discount_percentage,rate_value
PR1771,CT1001-546,Cargo Pants,972.47,0.93,3.2
PR4937,CT1005-329,Building Blocks,513.33,0.54,3.0
PR5223,CT1004-771,Bookshelf,4348.9,0.95,4.7
PR2833,CT1005-089,Robot Toy,43.45,0.56,1.1
PR9813,CT1003-935,Celebrity Biography,4968.71,0.08,1.6
PR3324,CT1002-517,Phone Case,2203.7,0.97,3.7
PR4011,CT1005-472,Crossword Puzzle Book,3793.79,0.35,4.3
PR5964,CT1004-209,Pruning Shears,3042.7,0.5,2.1
PR9145,CT1001-865,Evening Gown,1538.07,0.38,2.7
PR3573,CT1004-771,Coffee Table,2589.94,0.19,4.3
PR0930,CT1004-771,Dining Set,1806.83,0.27,4.4
PR7502,CT1002-150,Camera Phone,643.32,0.79,2.8
PR0185,CT1003-727,Self-Help Book,88.91,0.81,1.9
PR5747,CT1005-089,Robot Toy,4612.02,0.62,2.1
PR9067,CT1004-475,Cordless Drill,2561.21,0.28,2.5
PR4074,CT1001-103,Trench Coat,3888.76,0.92,4.1
PR6044,CT1001-865,Evening Gown,3407.43,0.87,3.9
PR1609,CT1003-935,Celebrity Biography,1548.3,0.94,1.9
PR0419,CT1004-752,Wall Art,837.82,0.15,3.0
PR0375,CT1002-517,Headphones,3868.34,0.93,2.0
PR1629,CT1002-517,Phone Case,2721.51,0.9,3.2
PR2619,CT1005-089,Learning Tablet,4392.2,0.21,1.9
PR4435,CT1001-208,Polo Shirt,1268.82,0.38,4.7
PR7064,CT1001-865,Summer Dress,3374.48,0.61,5.0
PR8942,CT1001-208,Flannel Shirt,115.03,0.81,2.9
PR9706,CT1002-942,DSLR Camera,4192.71,0.15,2.1
PR3733,CT1002-150,Android Handset,4015.1,0.14,2.3
PR0426,CT1005-089,Remote Control Car,2007.3,0.16,2.6
PR8017,CT1001-208,Casual Shirt,1899.11,0.26,1.9
PR6349,CT1005-089,Handheld Game Console,2648.59,0.42,3.8
PR3686,CT1001-208,Formal Shirt,1954.57,0.26,3.7
PR7565,CT1001-208,Casual Shirt,3410.04,0.22,1.5
PR1732,CT1003-056,Science Fiction Novel,2481.66,0.24,4.3
PR7919,CT1002-623,Ultrabook,905.06,0.85,4.5
PR8648,CT1005-329,Language Learning Toy,3359.83,0.57,1.8
PR5905,CT1002-623,Business Laptop,4959.18,0.15,4.7
PR5428,CT1003-056,Mystery Novel,2308.93,0.96,1.2
PR0519,CT1002-623,Business Laptop,2058.93,0.54,2.2
PR3758,CT1002-150,Touchscreen Phone,1690.86,0.73,2.7
PR8491,CT1003-056,Fantasy Book,707.76,0.65,1.3
PR3193,CT1003-799,Mathematics Textbook,1077.8,0.2,1.8
PR3195,CT1002-150,Camera Phone,1926.48,0.8,3.6
PR9687,CT1001-865,Wrap Dress,3760.65,0.59,1.2
PR4512,CT1003-056,Mystery Novel,3655.07,0.81,4.6
PR5931,CT1004-752,Wall Art,3008.45,0.15,2.8
PR9373,CT1005-089,Learning Tablet,2107.23,0.1,2.9
PR6310,CT1004-209,Gardening Gloves,3420.29,0.77,3.4
PR5712,CT1001-865,Evening Gown,3630.44,0.62,2.5
PR2194,CT1005-329,Science Kit,1721.75,0.73,4.5
PR3060,CT1004-209,Plant Pots,4887.29,0.25,2.8
PR5963,CT1001-208,Formal Shirt,4060.29,0.57,5.0
PR5645,CT1005-472,3D Puzzle,4821.47,0.49,3.8
PR0482,CT1005-472,Brain Teaser,4195.49,0.01,1.3
PR9310,CT1004-475,Cordless Drill,194.79,0.46,2.3
PR8277,CT1002-942,Point and Shoot,2938.92,0.67,2.9
PR9177,CT1001-865,Wrap Dress,3762.21,0.26,3.3
PR8797,CT1002-623,Convertible Laptop,267.47,0.36,4.3
PR8549,CT1005-329,Language Learning Toy,270.19,0.07,3.0
PR6018,CT1001-546,Jeans,4834.18,0.84,1.8
PR0066,CT1002-942,Action Camera,2283.54,0.97,2.5
PR7236,CT1005-472,Jigsaw Puzzle,3793.8,0.76,3.6
PR4110,CT1001-208,Polo Shirt,1021.56,0.02,1.6
PR7295,CT1004-752,Vase,3161.1,0.82,1.4
PR4849,CT1003-056,Science Fiction Novel,594.0,0.93,1.4
PR2816,CT1002-517,Portable Charger,1057.72,0.91,2.2
PR2654,CT1005-472,Jigsaw Puzzle,219.4,0.94,3.0
PR0479,CT1004-771,Coffee Table,4741.86,0.1,3.7
PR4513,CT1003-935,Celebrity Biography,1485.74,0.1,2.3
PR7719,CT1001-103,Puffer Jacket,3059.61,0.33,1.0
PR3488,CT1002-623,Business Laptop,4299.63,0.1,1.7
PR2724,CT1004-209,Plant Pots,593.22,0.99,1.9
PR4104,CT1002-623,Business Laptop,3817.88,0.87,3.0
PR8671,CT1004-752,Picture Frame,860.1,0.37,3.6
PR0795,CT1001-865,Cocktail Dress,199.94,0.45,3.9
PR6171,CT1005-329,Math Game,753.4,0.15,5.0
PR1695,CT1004-752,Picture Frame,1595.99,0.01,1.2
PR3176,CT1004-752,Area Rug,522.63,0.49,2.5
PR4884,CT1004-475,Hammer,2659.45,0.68,3.9
PR7036,CT1005-329,Language Learning Toy,916.5,0.89,3.1
PR1923,CT1005-329,Math Game,4800.02,0.08,2.6
PR9501,CT1004-752,Picture Frame,520.89,0.43,4.4
PR3079,CT1004-752,Picture Frame,2107.7,0.54,2.5
PR5811,CT1002-623,Convertible Laptop,2343.72,0.49,2.8
PR4902,CT1005-089,Handheld Game Console,1202.11,0.44,1.9
PR3568,CT1003-935,Historical Biography,435.1,0.5,2.2
PR6428,CT1001-546,Sweatpants,4588.1,0.82,3.3
PR8346,CT1003-056,Fantasy Book,3762.47,0.28,3.6
PR1080,CT1002-942,Mirrorless Camera,159.91,0.69,2.1
PR2184,CT1002-517,Headphones,3649.3,0.51,1.6
PR2600,CT1004-209,Plant Pots,4431.35,0.06,3.5
PR9966,CT1005-472,Brain Teaser,4886.61,0.91,4.9
PR2927,CT1001-865,Summer Dress,4375.35,0.18,3.8
PR9807,CT1005-648,Classic Board Game,3730.12,0.53,4.7
PR8836,CT1004-771,Bookshelf,4298.26,0.91,4.8
PR2547,CT1004-209,Plant Pots,3058.07,0.1,2.8
PR6108,CT1004-209,Gardening Gloves,4314.38,0.82,2.5
PR2484,CT1002-517,Portable Charger,1012.22,0.01,2.4
PR6004,CT1002-623,Ultrabook,2335.37,0.55,2.7
PR9555,CT1004-752,Picture Frame,1353.3,0.35,1.4
PR2752,CT1005-329,Building Blocks,1548.43,0.95,2.2
PR5249,CT1005-089,Learning Tablet,1651.28,0.52,1.3
PR5448,CT1005-089,Remote Control Car,4082.1,0.1,4.2
PR5180,CT1003-727,Travel Guide,3033.1,0.02,3.8
PR6286,CT1005-472,Jigsaw Puzzle,984.69,0.18,4.8
PR4455,CT1004-475,Handsaw,2273.1,0.4,2.4
PR8959,CT1003-727,Biography,2319.97,0.14,4.7
PR4269,CT1003-056,Fantasy Book,4273.61,0.88,4.6
PR0346,CT1005-089,Learning Tablet,1952.7,0.43,4.8
PR7629,CT1002-942,Action Camera,1583.2,0.34,4.8
PR8517,CT1001-546,Jeans,968.41,0.29,3.6
PR0707,CT1002-150,Android Handset,3204.63,0.69,1.5
PR9870,CT1004-752,Vase,3897.07,0.94,5.0
PR1338,CT1004-475,Screwdriver Set,3994.36,0.67,4.8
PR4796,CT1001-208,Polo Shirt,2805.96,0.47,2.2
PR1600,CT1004-771,Sofa,2762.97,0.21,4.3
PR2855,CT1003-727,Travel Guide,528.66,0.6,4.7
PR0343,CT1003-727,Travel Guide,3692.07,0.44,4.7
PR0820,CT1001-865,Summer Dress,2553.38,0.24,2.7
PR2802,CT1005-472,3D Puzzle,1997.85,0.46,2.1
PR0588,CT1005-472,Brain Teaser,4336.59,0.29,1.9
PR0543,CT1002-623,Gaming Laptop,84.32,0.24,1.5
PR4279,CT1004-771,Coffee Table,4714.53,0.88,2.3
PR8110,CT1004-209,Plant Pots,3636.43,0.94,2.2
PR5033,CT1002-942,Point and Shoot,408.79,0.43,2.2
PR1388,CT1002-623,Gaming Laptop,1925.88,0.75,3.7
PR0470,CT1002-942,Action Camera,1825.16,0.54,2.3
PR8122,CT1002-150,Smart Mobile,172.34,0.3,5.0
PR6519,CT1005-648,Family Game,3958.77,0.34,4.4
PR3301,CT1003-935,Celebrity Biography,3759.03,0.95,3.1
PR9106,CT1002-517,Headphones,270.21,0.12,4.3
PR8244,CT1003-056,Science Fiction Novel,4547.86,0.95,1.7
PR7108,CT1003-799,Language Workbook,2696.32,0.04,4.1
PR2462,CT1001-208,Polo Shirt,4481.65,0.67,3.6
PR7133,CT1005-472,Crossword Puzzle Book,1726.24,0.0,3.2
PR0537,CT1003-727,Biography,3309.09,0.35,3.5
PR1239,CT1003-056,Historical Fiction,615.93,0.22,2.6
PR1581,CT1001-865,Cocktail Dress,1598.83,0.61,2.0
PR8410,CT1005-329,Math Game,4480.56,0.73,4.1
PR0573,CT1003-056,Fantasy Book,4591.6,0.21,1.0
PR4228,CT1002-517,Camera Lens,397.55,0.91,4.3
PR6240,CT1005-329,Science Kit,3983.53,0.11,1.6
PR8170,CT1003-727,Self-Help Book,2005.66,0.18,2.6
PR8988,CT1001-546,Chinos,1423.92,0.93,4.1
PR2510,CT1005-329,Building Blocks,4215.97,0.29,4.4
PR6153,CT1002-150,Smart Mobile,1602.01,0.67,3.7
PR5287,CT1004-752,Wall Art,1799.86,0.02,1.3
PR9243,CT1002-623,Ultrabook,348.57,0.21,2.4
PR7661,CT1003-935,Political Memoir,1584.69,0.75,4.7
PR1597,CT1004-771,Bookshelf,2430.47,0.44,1.6
PR3107,CT1003-056,Fantasy Book,4141.11,0.62,3.2
PR5470,CT1004-475,Screwdriver Set,4481.02,0.44,1.2
PR3631,CT1004-771,Coffee Table,2088.91,0.65,2.4
PR7521,CT1001-546,Sweatpants,3839.46,0.33,1.9
PR3383,CT1002-150,Android Handset,2353.38,0.96,2.8
PR4441,CT1003-727,Self-Help Book,2968.3,0.05,1.1
PR3549,CT1004-752,Wall Art,4278.11,0.0,3.0
PR6154,CT1004-752,Vase,982.48,0.81,4.4
PR7412,CT1003-056,Fantasy Book,3888.14,0.7,2.4
PR9165,CT1003-799,Language Workbook,2632.96,0.24,3.7
PR3868,CT1005-648,Family Game,3186.58,0.95,2.9
PR9703,CT1005-089,Remote Control Car,1489.57,0.91,1.3
PR1620,CT1002-623,Business Laptop,1910.53,0.47,2.5
PR7075,CT1004-209,Gardening Gloves,912.82,0.43,4.1
PR4295,CT1003-935,Historical Biography,4051.76,0.98,2.0
PR0394,CT1002-942,DSLR Camera,1660.92,0.06,1.4
PR0390,CT1004-752,Vase,2123.03,0.83,2.6
PR9611,CT1003-727,Biography,2713.57,0.48,2.1
PR3087,CT1004-752,Area Rug,781.57,0.2,1.5
PR6273,CT1005-089,Robot Toy,1804.86,0.28,4.3
PR6568,CT1005-648,Strategy Board Game,1245.96,0.45,1.7
PR6224,CT1003-727,Biography,3949.85,0.54,2.0
PR3358,CT1002-942,Action Camera,4674.2,0.0,1.1
PR8615,CT1001-208,Formal Shirt,205.9,0.11,1.2
PR4436,CT1005-329,Language Learning Toy,1548.88,0.82,3.8
PR6369,CT1005-089,Remote Control Car,2853.68,0.57,1.9
PR3782,CT1002-150,Touchscreen Phone,932.56,0.54,2.5
PR8947,CT1004-752,Area Rug,4005.89,0.4,1.7
PR7174,CT1005-089,Remote Control Car,1729.52,0.82,4.1
PR4647,CT1003-799,Science Textbook,3526.5,0.81,4.1
PR7859,CT1001-865,Wrap Dress,1098.88,0.61,3.2
PR1205,CT1003-799,Mathematics Textbook,306.62,0.82,1.9
PR9290,CT1003-935,Political Memoir,4104.02,0.84,4.2
PR1962,CT1005-472,Brain Teaser,4109.53,0.14,4.3
PR8100,CT1002-150,Camera Phone,137.23,0.03,3.4
PR2751,CT1001-865,Evening Gown,1873.86,0.25,4.9
PR1368,CT1001-103,Windbreaker,72.88,0.86,4.0
PR8196,CT1004-475,Handsaw,4774.7,0.8,3.8
PR1737,CT1005-472,Crossword Puzzle Book,533.73,0.19,1.2
PR0260,CT1005-648,Family Game,51.89,0.1,2.8
PR8500,CT1002-517,Camera Lens,828.88,0.37,1.7
PR0358,CT1001-546,Cargo Pants,3698.2,0.03,4.1
PR4843,CT1003-799,Science Textbook,3114.17,0.73,3.4
PR6959,CT1004-752,Wall Art,1539.68,0.9,2.2
PR2280,CT1004-752,Vase,2403.58,0.21,1.9
PR3575,CT1002-942,Point and Shoot,1011.58,0.64,2.8
PR2301,CT1005-329,Building Blocks,1759.75,0.79,1.7
PR5329,CT1005-472,3D Puzzle,90.1,0.08,3.5
PR6809,CT1004-771,Sofa,932.35,0.69,4.3
PR3892,CT1004-771,Sofa,1019.35,0.31,1.4
PR7120,CT1004-752,Wall Art,1820.28,0.92,2.6
PR8641,CT1004-209,Watering Can,620.53,0.67,3.1
PR7945,CT1005-648,Trivia Game,4174.04,0.32,4.3
PR6156,CT1005-472,3D Puzzle,1096.74,0.38,3.9
PR1767,CT1005-089,Learning Tablet,2285.05,0.73,4.3
PR0821,CT1003-727,Travel Guide,811.41,0.84,3.4
PR5611,CT1002-150,Touchscreen Phone,3817.6,0.65,2.5
PR4461,CT1002-517,Headphones,4412.09,0.6,4.6
PR9383,CT1005-089,Robot Toy,1671.87,0.84,5.0
PR4379,CT1004-475,Handsaw,3456.37,0.75,1.0
PR0368,CT1002-517,Camera Lens,2544.08,0.39,4.3
PR4028,CT1001-546,Cargo Pants,1948.29,0.11,2.2
PR5529,CT1003-935,Historical Biography,3110.53,0.43,3.8
PR5445,CT1003-935,Celebrity Biography,1544.16,0.52,1.3
PR0622,CT1002-623,Ultrabook,3870.6,0.76,4.4
PR8347,CT1003-056,Mystery Novel,369.15,0.13,4.6
PR7823,CT1005-648,Strategy Board Game,2630.67,0.64,3.1
PR0882,CT1001-103,Leather Jacket,172.46,0.52,4.2
PR2366,CT1001-865,Cocktail Dress,1580.79,0.36,1.1
PR8619,CT1002-623,Business Laptop,194.4,0.04,4.4
PR0513,CT1001-546,Cargo Pants,4689.45,0.75,1.5
PR2764,CT1004-475,Screwdriver Set,1731.43,0.88,3.7
PR1561,CT1002-623,Convertible Laptop,4061.83,0.09,3.5
PR7106,CT1002-517,Portable Charger,1979.07,0.05,2.0
PR1257,CT1002-150,Camera Phone,3355.01,0.05,1.1
PR5996,CT1004-475,Hammer,4936.98,0.3,5.0
PR9010,CT1004-475,Hammer,182.75,0.5,2.9
PR7357,CT1003-727,Biography,3235.99,0.79,4.7
PR5128,CT1003-727,Cookbook,2232.94,0.68,3.6
PR9856,CT1005-089,Handheld Game Console,2855.86,0.48,4.7
PR6514,CT1003-727,Self-Help Book,2385.26,0.36,4.2
PR6598,CT1003-799,Science Textbook,4163.23,0.92,2.9
PR8124,CT1003-727,Self-Help Book,4173.25,0.15,2.5
PR6772,CT1003-799,Mathematics Textbook,845.38,0.95,1.7
PR3587,CT1005-329,Science Kit,2497.36,0.26,1.4
PR9370,CT1001-103,Windbreaker,3496.61,0.36,1.0
PR7757,CT1005-648,Trivia Game,2822.35,0.71,1.7
PR6221,CT1005-648,Family Game,4293.35,0.1,4.8
PR9080,CT1004-475,Hammer,1289.47,0.81,1.0
PR9887,CT1003-935,Political Memoir,2331.22,0.9,2.3
PR9997,CT1001-103,Windbreaker,419.17,0.96,4.7
PR6600,CT1004-209,Pruning Shears,2416.79,0.8,1.9
PR8282,CT1004-209,Pruning Shears,4165.32,0.07,1.4
PR3199,CT1005-089,Learning Tablet,1017.46,0.98,3.0
PR9118,CT1002-623,Business Laptop,2167.96,0.52,3.4
PR5563,CT1001-546,Chinos,1120.7,0.47,3.3
PR0473,CT1003-935,Political Memoir,1295.43,0.9,2.5
PR6873,CT1002-150,Camera Phone,4008.35,0.16,3.8
PR6920,CT1005-329,Building Blocks,3234.8,0.47,3.6
PR9409,CT1002-517,Phone Case,1086.06,0.04,3.1
PR1147,CT1002-942,Point and Shoot,2291.13,0.68,1.4
PR1786,CT1004-771,Coffee Table,2988.2,0.91,3.1
PR7779,CT1003-727,Biography,1668.7,0.36,3.8
PR9839,CT1004-209,Watering Can,281.79,0.56,4.1
PR7490,CT1001-865,Wrap Dress,3307.97,0.33,1.3
PR3723,CT1002-150,Camera Phone,4405.15,0.74,2.6
PR1375,CT1003-056,Science Fiction Novel,1692.22,0.36,3.3
PR7331,CT1001-208,Polo Shirt,2508.54,0.63,1.1
PR4305,CT1005-472,Crossword Puzzle Book,3640.8,0.25,2.1
PR6737,CT1005-329,Language Learning Toy,2651.73,0.17,3.8
PR5183,CT1002-517,Headphones,3443.84,0.94,2.2
PR3793,CT1001-208,Polo Shirt,4182.38,0.81,4.8
PR0902,CT1002-517,Portable Charger,4409.64,0.53,2.7
PR1810,CT1003-799,History Textbook,2091.21,0.93,3.2
PR8372,CT1001-546,Jeans,1832.04,0.69,1.1
PR6922,CT1001-208,Polo Shirt,4796.4,0.36,1.1
PR6929,CT1005-089,Learning Tablet,1394.33,0.19,4.9
PR2553,CT1004-752,Wall Art,1194.57,0.72,3.5
PR1928,CT1002-517,Headphones,52.58,0.98,4.8
PR9615,CT1005-472,3D Puzzle,3982.63,0.62,3.8
PR4363,CT1004-771,Sofa,2393.48,0.75,1.2
PR3104,CT1005-329,Building Blocks,2507.58,0.06,3.0
PR9330,CT1002-517,Portable Charger,2088.33,0.6,4.4
PR6612,CT1003-799,Mathematics Textbook,1245.56,0.83,1.3
PR5965,CT1001-546,Chinos,2446.49,0.48,4.3
PR4742,CT1005-472,Jigsaw Puzzle,1169.25,0.12,1.6
PR5240,CT1002-517,Camera Lens,2016.37,0.42,3.9
PR0530,CT1002-623,Business Laptop,651.79,0.94,4.5
PR1795,CT1005-329,Science Kit,3481.18,0.28,4.7
PR6628,CT1002-517,Phone Case,4417.53,0.49,4.7
PR7501,CT1004-209,Pruning Shears,4886.53,0.98,1.2
PR1319,CT1001-865,Wrap Dress,1182.27,0.95,1.3
PR7666,CT1001-103,Trench Coat,1650.07,0.76,4.0
PR8572,CT1002-517,Camera Lens,2431.11,0.85,4.3
PR0287,CT1002-942,DSLR Camera,3290.96,0.89,3.4
PR6965,CT1002-150,Smart Mobile,50.8,0.21,4.3
PR5153,CT1001-208,Flannel Shirt,4748.12,0.93,3.5
PR3889,CT1002-517,Portable Charger,4261.6,0.49,1.3
PR1254,CT1001-208,Polo Shirt,1233.63,0.69,1.1
PR8225,CT1005-648,Family Game,669.29,0.15,3.3
PR9489,CT1001-208,Casual Shirt,3988.3,0.61,3.6
PR6260,CT1003-799,Language Workbook,1109.78,0.5,3.6
PR4586,CT1002-623,Ultrabook,585.3,0.15,2.9
PR4792,CT1004-752,Vase,3848.39,0.15,1.2
PR1069,CT1002-517,Portable Charger,4743.75,0.14,3.6
PR4397,CT1001-208,Casual Shirt,1481.79,0.2,4.4
PR5955,CT1003-056,Science Fiction Novel,3697.28,0.21,4.1
PR0755,CT1005-089,Handheld Game Console,3572.71,0.18,1.7
PR3222,CT1001-103,Trench Coat,54.17,0.53,3.0
PR7251,CT1005-329,Language Learning Toy,1674.88,0.15,4.3
PR2894,CT1005-089,Robot Toy,3609.88,0.58,2.8
PR0855,CT1005-089,Learning Tablet,3518.38,0.56,4.3
PR8487,CT1005-648,Family Game,2887.0,0.08,3.3
PR5021,CT1001-208,Flannel Shirt,1520.01,0.09,3.7
PR9554,CT1003-056,Historical Fiction,3608.62,0.81,4.1
PR3247,CT1001-208,Formal Shirt,1082.02,0.6,3.5
PR4503,CT1004-209,Watering Can,2879.54,0.81,2.3
PR9668,CT1004-475,Handsaw,3738.18,0.35,2.2
PR5044,CT1005-648,Family Game,1230.85,0.31,4.3
PR2661,CT1005-089,Remote Control Car,2553.19,0.82,2.9
PR7239,CT1005-648,Strategy Board Game,2462.96,0.21,4.8
PR9977,CT1004-209,Gardening Gloves,3060.79,0.33,1.8
PR2959,CT1003-056,Historical Fiction,2871.24,0.33,2.7
PR8479,CT1003-056,Science Fiction Novel,1050.03,0.9,4.1
PR8045,CT1005-329,Science Kit,2980.02,0.28,1.6
PR4715,CT1003-935,Historical Biography,2332.41,0.57,1.2
PR9841,CT1003-056,Fantasy Book,2457.47,0.41,2.7
PR5026,CT1003-935,Political Memoir,4644.85,0.0,4.1
PR3408,CT1003-799,Mathematics Textbook,3194.83,0.63,3.9
PR8109,CT1005-648,Family Game,4256.79,0.72,3.8
PR5163,CT1003-056,Fantasy Book,4843.53,0.71,4.1
PR1397,CT1005-329,Math Game,823.8,0.89,3.8
PR9107,CT1003-799,History Textbook,3966.67,0.03,2.9
PR4728,CT1005-329,Science Kit,1401.76,0.39,3.5
PR3201,CT1005-329,Language Learning Toy,4012.17,0.43,2.4
PR4903,CT1004-209,Pruning Shears,3553.07,0.32,2.3
PR1321,CT1001-546,Chinos,1165.98,0.55,2.3
PR9723,CT1002-942,DSLR Camera,4152.86,0.07,4.1
PR1800,CT1001-208,Polo Shirt,2132.91,0.75,4.4
PR5351,CT1001-546,Sweatpants,4366.55,0.08,2.9
PR4327,CT1002-517,Camera Lens,268.25,0.17,4.9
PR3962,CT1003-799,Mathematics Textbook,179.78,0.85,1.4
PR3768,CT1002-517,Camera Lens,3336.81,0.76,2.9
PR5152,CT1001-103,Puffer Jacket,1423.08,0.57,2.5
PR5165,CT1001-865,Wrap Dress,3587.2,0.83,2.9
PR2980,CT1003-727,Travel Guide,4997.68,0.04,1.4
PR3567,CT1005-089,Robot Toy,4973.85,0.92,3.4
PR5691,CT1005-472,Jigsaw Puzzle,894.76,0.4,2.0
PR4092,CT1005-089,Learning Tablet,2052.78,0.58,4.9
PR1306,CT1005-329,Building Blocks,1695.28,0.59,3.7
PR8742,CT1003-056,Mystery Novel,2220.22,0.1,3.5
PR2121,CT1004-475,Cordless Drill,3753.17,0.37,4.7
PR6517,CT1005-329,Building Blocks,1549.85,0.2,3.5
PR8291,CT1003-056,Mystery Novel,4568.11,0.96,1.7
PR7674,CT1002-623,Business Laptop,2843.4,0.46,2.6
PR3439,CT1001-546,Jeans,4378.78,0.74,4.6
PR2917,CT1005-472,Jigsaw Puzzle,945.38,0.9,2.2
PR6619,CT1003-799,History Textbook,2312.68,0.01,3.6
PR2051,CT1001-865,Summer Dress,2908.14,0.85,2.0
PR9683,CT1002-942,Mirrorless Camera,1140.09,0.46,2.7
PR6577,CT1003-935,Sports Star Biography,2032.24,0.82,4.3
PR4763,CT1002-150,Android Handset,4428.97,0.34,3.9
PR9933,CT1005-472,Jigsaw Puzzle,1441.25,0.15,4.5
PR4876,CT1005-648,Classic Board Game,4057.69,0.57,4.5
PR0100,CT1005-472,Brain Teaser,1928.55,0.62,4.1
PR7057,CT1001-865,Summer Dress,3130.69,0.66,3.1
PR8343,CT1001-546,Chinos,2994.55,0.67,1.3
PR3632,CT1003-056,Science Fiction Novel,3293.29,0.2,3.2
PR9738,CT1004-771,Bookshelf,3405.12,0.64,4.0
PR3363,CT1002-517,Headphones,1401.47,0.74,3.9
PR3456,CT1001-865,Summer Dress,3428.46,0.73,2.8
PR5752,CT1002-942,Action Camera,1748.57,0.61,1.2
PR2622,CT1004-752,Area Rug,628.67,0.46,1.4
PR4659,CT1001-865,Cocktail Dress,66.84,0.99,3.4
PR8232,CT1005-089,Remote Control Car,30.25,0.8,2.6
PR2265,CT1003-935,Political Memoir,1821.9,0.73,4.9
PR5010,CT1003-935,Sports Star Biography,3303.73,0.9,4.6
PR8941,CT1005-329,Math Game,4315.17,0.98,1.9
PR9069,CT1005-648,Trivia Game,4779.52,0.99,4.2
PR5294,CT1003-056,Science Fiction Novel,158.95,0.53,3.2
PR6637,CT1005-648,Classic Board Game,4263.86,0.12,3.5
PR8765,CT1005-329,Language Learning Toy,536.26,0.85,2.6
PR5231,CT1004-475,Handsaw,1477.24,0.73,3.5
PR0465,CT1003-935,Celebrity Biography,2574.93,0.66,2.3
PR7651,CT1001-546,Jeans,1783.93,0.92,2.1
PR1461,CT1001-208,Formal Shirt,4626.26,0.71,1.8
PR1203,CT1004-475,Hammer,344.37,0.79,2.0
PR6752,CT1004-752,Picture Frame,4742.92,0.57,4.2
PR0472,CT1005-472,Jigsaw Puzzle,2066.82,0.74,4.4
PR3128,CT1004-475,Handsaw,273.89,0.88,4.9
PR2504,CT1003-799,Science Textbook,2233.25,0.79,1.2
PR6823,CT1005-329,Language Learning Toy,4842.02,0.87,2.6
PR4443,CT1003-056,Fantasy Book,797.48,0.96,3.5
PR5520,CT1005-648,Family Game,2449.51,0.04,4.9
PR0558,CT1002-150,Smart Mobile,4229.28,0.16,3.4
PR2866,CT1004-209,Watering Can,3611.15,0.33,4.4
PR9663,CT1002-517,Camera Lens,1631.88,0.45,3.6
PR3045,CT1003-935,Historical Biography,57.99,0.62,4.1
PR0147,CT1002-517,Portable Charger,3451.07,0.86,4.5
PR6079,CT1001-103,Leather Jacket,2857.8,0.01,3.1
PR9524,CT1001-546,Jeans,2044.42,0.49,3.4
PR6910,CT1003-727,Cookbook,4829.54,0.64,4.8
PR9289,CT1003-935,Celebrity Biography,1734.28,0.24,1.4
PR9275,CT1003-727,Cookbook,4943.18,0.45,3.4
PR2723,CT1002-942,DSLR Camera,2106.24,0.5,1.7
